age,income,employment_type,credit_history_bad,prev_loans,loan_amount,loan_term_days,region,education,default
69.0,22448.0,наемный,0.0,2.0,8577,14,ЕКБ,среднее_специальное,0
20.0,37896.0,наемный,0.0,3.0,17960,7,НСК,среднее_специальное,0
54.0,21789.0,пенсионер,0.0,5.0,3260,14,ЕКБ,высшее,0
68.0,56115.0,ИП,0.0,0.0,8850,30,,среднее,0
24.0,62227.0,ИП,0.0,1.0,29691,14,НСК,среднее_специальное,0
38.0,39295.0,пенсионер,0.0,1.0,7128,14,СПб,высшее,0
26.0,21969.0,пенсионер,0.0,2.0,2380,30,Москва,высшее,1
56.0,11704.0,студент,1.0,2.0,5236,14,СПб,высшее,1
35.0,,наемный,1.0,2.0,10064,30,НСК,среднее_специальное,0
21.0,45541.0,наемный,1.0,4.0,9989,14,НСК,высшее,1
42.0,8855.0,безработный,0.0,0.0,1689,14,Москва,среднее,1
31.0,15963.0,безработный,0.0,1.0,7455,7,Москва,среднее,1
67.0,65475.0,ИП,0.0,0.0,26829,21,ЕКБ,среднее,0
26.0,28716.0,наемный,0.0,1.0,9726,30,СПб,среднее,0
43.0,27635.0,безработный,1.0,4.0,7773,14,Москва,среднее_специальное,1
19.0,29315.0,безработный,0.0,1.0,4614,21,Москва,среднее,0
37.0,32772.0,наемный,0.0,0.0,15415,14,СПб,высшее,0
45.0,41936.0,наемный,0.0,5.0,16768,14,СПб,среднее_специальное,1
64.0,46422.0,наемный,0.0,3.0,9820,30,СПб,среднее,0
24.0,34543.0,наемный,0.0,2.0,16546,21,СПб,среднее,1
61.0,44816.0,наемный,0.0,2.0,21246,30,НСК,среднее_специальное,0
25.0,41632.0,наемный,0.0,3.0,15146,14,ЕКБ,среднее_специальное,0
64.0,25320.0,наемный,0.0,2.0,12508,30,Москва,среднее_специальное,1
52.0,64591.0,ИП,0.0,,11296,14,Москва,среднее_специальное,0
31.0,48998.0,ИП,1.0,3.0,19234,7,НСК,среднее_специальное,1
34.0,34392.0,пенсионер,1.0,3.0,5532,7,Москва,высшее,1
53.0,33287.0,наемный,1.0,2.0,12538,7,НСК,среднее,1
67.0,38387.0,наемный,0.0,3.0,17962,14,НСК,среднее_специальное,0
57.0,38722.0,пенсионер,0.0,1.0,12175,7,ЕКБ,среднее_специальное,0
21.0,44963.0,наемный,1.0,1.0,18220,7,Москва,среднее,1
19.0,5000.0,студент,0.0,3.0,786,30,ЕКБ,среднее,1
23.0,14850.0,пенсионер,0.0,2.0,5246,30,НСК,среднее,0
59.0,34006.0,наемный,0.0,1.0,4260,21,НСК,неоконченное,0
,13946.0,студент,0.0,1.0,1600,14,Москва,высшее,0
46.0,43582.0,наемный,0.0,1.0,15411,14,,высшее,0
35.0,31568.0,наемный,1.0,2.0,10389,14,ЕКБ,среднее,1
43.0,48327.0,ИП,0.0,2.0,11197,14,Москва,среднее,0
61.0,42815.0,наемный,0.0,1.0,13065,21,НСК,среднее_специальное,0
51.0,8181.0,студент,0.0,3.0,3057,7,СПб,среднее,1
27.0,61572.0,наемный,0.0,3.0,22036,21,НСК,среднее,1
53.0,40366.0,наемный,0.0,2.0,5225,14,СПб,неоконченное,0
31.0,58142.0,наемный,0.0,2.0,21585,30,НСК,среднее_специальное,0
48.0,48296.0,ИП,0.0,2.0,17570,30,ЕКБ,неоконченное,0
65.0,24267.0,наемный,1.0,2.0,8926,30,Москва,среднее,0
32.0,28799.0,наемный,0.0,3.0,12641,21,ЕКБ,среднее_специальное,0
25.0,36891.0,пенсионер,0.0,5.0,12199,14,СПб,,0
31.0,57561.0,наемный,0.0,2.0,27350,14,НСК,среднее_специальное,0
40.0,17178.0,пенсионер,0.0,2.0,8451,21,СПб,среднее_специальное,0
57.0,35394.0,наемный,0.0,,14183,14,НСК,среднее_специальное,0
38.0,5000.0,безработный,0.0,0.0,1217,7,НСК,высшее,1
33.0,5000.0,безработный,1.0,2.0,786,14,НСК,среднее_специальное,1
62.0,47184.0,наемный,0.0,0.0,20197,14,ЕКБ,высшее,0
35.0,42230.0,наемный,0.0,3.0,6699,30,ЕКБ,среднее_специальное,0
64.0,25104.0,пенсионер,0.0,3.0,3978,21,СПб,высшее,0
41.0,25999.0,наемный,1.0,2.0,12157,21,Москва,высшее,1
43.0,26399.0,студент,0.0,0.0,8551,21,ЕКБ,,0
42.0,34966.0,наемный,0.0,3.0,7599,14,Москва,высшее,0
62.0,45336.0,наемный,1.0,3.0,21996,30,ЕКБ,среднее,0
58.0,25454.0,наемный,0.0,3.0,9747,14,Москва,среднее_специальное,0
,8094.0,студент,0.0,2.0,2541,30,ЕКБ,высшее,1
32.0,42913.0,наемный,0.0,2.0,9946,30,Москва,,0
62.0,28270.0,пенсионер,1.0,2.0,10478,7,Москва,среднее_специальное,0
18.0,26546.0,пенсионер,1.0,0.0,10415,21,НСК,среднее_специальное,0
42.0,44945.0,наемный,1.0,2.0,17296,21,НСК,среднее,1
24.0,28694.0,наемный,1.0,0.0,5111,30,,среднее,1
26.0,16973.0,безработный,0.0,2.0,6431,14,НСК,среднее,1
41.0,41137.0,наемный,0.0,2.0,13681,14,ЕКБ,,0
18.0,17316.0,безработный,0.0,4.0,7619,21,ЕКБ,высшее,0
61.0,40723.0,наемный,1.0,2.0,14249,7,ЕКБ,среднее_специальное,1
25.0,27267.0,наемный,0.0,2.0,4322,30,Москва,среднее,0
41.0,5000.0,безработный,1.0,2.0,1137,14,СПб,среднее_специальное,1
28.0,17857.0,наемный,0.0,0.0,7098,21,НСК,высшее,0
68.0,48175.0,наемный,1.0,3.0,19076,7,НСК,среднее_специальное,1
34.0,48276.0,наемный,0.0,3.0,9128,14,Москва,среднее,0
25.0,48435.0,наемный,1.0,2.0,11713,14,Москва,высшее,1
52.0,43067.0,наемный,0.0,1.0,4570,14,ЕКБ,,0
52.0,5000.0,пенсионер,0.0,4.0,1163,30,Москва,среднее_специальное,0
50.0,29732.0,наемный,0.0,2.0,3286,21,НСК,,0
22.0,41704.0,наемный,0.0,1.0,18731,30,СПб,высшее,0
59.0,61355.0,ИП,0.0,,22496,14,ЕКБ,среднее,0
56.0,37772.0,наемный,1.0,1.0,18419,14,ЕКБ,высшее,0
58.0,43689.0,наемный,0.0,2.0,19955,30,СПб,среднее,1
45.0,10116.0,студент,0.0,1.0,3453,14,НСК,неоконченное,0
24.0,16207.0,безработный,0.0,1.0,4881,14,ЕКБ,неоконченное,1
26.0,33609.0,наемный,0.0,3.0,15241,14,НСК,среднее,0
25.0,69820.0,ИП,1.0,0.0,15316,21,НСК,высшее,0
29.0,35692.0,наемный,1.0,1.0,6760,21,НСК,неоконченное,0
51.0,46693.0,ИП,1.0,1.0,12327,21,НСК,среднее_специальное,0
50.0,32290.0,наемный,0.0,2.0,3916,14,ЕКБ,,0
,36515.0,наемный,0.0,3.0,8062,14,СПб,неоконченное,0
40.0,49940.0,наемный,0.0,2.0,6665,30,СПб,среднее_специальное,0
41.0,39577.0,наемный,0.0,3.0,4791,30,ЕКБ,среднее,1
54.0,38138.0,наемный,1.0,2.0,12224,7,Москва,среднее_специальное,0
52.0,5000.0,студент,0.0,3.0,1916,14,ЕКБ,среднее_специальное,0
61.0,47854.0,наемный,0.0,1.0,15058,14,ЕКБ,среднее,1
57.0,33480.0,наемный,1.0,1.0,4293,21,СПб,среднее,1
39.0,,наемный,0.0,1.0,10061,14,НСК,среднее,0
44.0,54801.0,наемный,0.0,3.0,7912,7,Москва,среднее,0
52.0,20087.0,безработный,1.0,3.0,7231,21,НСК,среднее,1
18.0,23717.0,наемный,0.0,2.0,10211,14,НСК,высшее,0
52.0,22304.0,наемный,1.0,0.0,3271,14,НСК,,0
54.0,39356.0,наемный,0.0,1.0,4988,7,Москва,высшее,0
64.0,5000.0,безработный,0.0,2.0,1311,30,НСК,неоконченное,0
31.0,46485.0,наемный,0.0,2.0,10291,14,НСК,среднее_специальное,0
20.0,40422.0,наемный,0.0,2.0,8257,14,НСК,высшее,0
18.0,41653.0,наемный,0.0,0.0,7687,21,ЕКБ,,0
22.0,32932.0,наемный,0.0,3.0,7467,14,ЕКБ,среднее_специальное,0
43.0,57413.0,наемный,0.0,3.0,27911,14,ЕКБ,среднее,0
31.0,88425.0,ИП,0.0,2.0,39178,14,Москва,неоконченное,0
56.0,57214.0,ИП,0.0,1.0,19483,7,СПб,среднее_специальное,0
44.0,28530.0,пенсионер,0.0,4.0,11988,14,,неоконченное,0
26.0,40974.0,наемный,1.0,2.0,4338,14,,среднее,1
32.0,37403.0,наемный,1.0,,5407,21,НСК,среднее,1
32.0,31679.0,наемный,0.0,1.0,6873,14,Москва,высшее,1
43.0,5000.0,студент,0.0,2.0,1787,14,СПб,высшее,0
59.0,28644.0,наемный,0.0,2.0,12986,21,,высшее,0
30.0,19052.0,безработный,0.0,0.0,3666,7,НСК,высшее,0
68.0,34803.0,наемный,0.0,1.0,5418,21,ЕКБ,высшее,0
49.0,14217.0,наемный,0.0,2.0,6243,14,НСК,высшее,0
56.0,44448.0,наемный,0.0,5.0,11718,30,НСК,среднее_специальное,0
66.0,39617.0,наемный,0.0,4.0,15046,7,,среднее_специальное,1
69.0,23466.0,студент,,4.0,7490,14,НСК,высшее,1
49.0,13731.0,студент,0.0,2.0,2339,7,НСК,,1
21.0,25213.0,наемный,0.0,3.0,9586,7,Москва,среднее,0
47.0,17703.0,наемный,1.0,1.0,4749,30,НСК,среднее,0
54.0,5000.0,студент,1.0,4.0,1075,21,НСК,высшее,1
40.0,53748.0,ИП,0.0,3.0,24782,14,ЕКБ,среднее,0
56.0,49431.0,наемный,1.0,2.0,5061,14,Москва,среднее,0
62.0,39911.0,наемный,0.0,1.0,10454,14,ЕКБ,,1
32.0,51336.0,наемный,0.0,2.0,11304,7,НСК,среднее_специальное,0
60.0,26751.0,наемный,0.0,4.0,3258,7,СПб,среднее,0
46.0,49652.0,наемный,1.0,3.0,6562,7,СПб,среднее,1
,47209.0,наемный,0.0,2.0,7974,21,Москва,среднее,0
30.0,19817.0,наемный,0.0,2.0,5984,14,ЕКБ,высшее,0
49.0,53226.0,наемный,0.0,1.0,11340,14,СПб,среднее,0
24.0,40934.0,наемный,0.0,5.0,17812,21,ЕКБ,среднее_специальное,0
68.0,28920.0,пенсионер,0.0,3.0,5668,14,ЕКБ,среднее,1
39.0,51351.0,ИП,0.0,2.0,19928,14,СПб,среднее,0
45.0,52752.0,,0.0,2.0,9714,7,СПб,среднее_специальное,0
19.0,5000.0,студент,0.0,4.0,585,14,НСК,среднее,1
59.0,18320.0,студент,0.0,3.0,3771,30,ЕКБ,среднее_специальное,1
62.0,48206.0,наемный,1.0,1.0,20970,30,ЕКБ,высшее,0
23.0,30258.0,наемный,0.0,2.0,4021,14,НСК,среднее,0
45.0,34833.0,безработный,0.0,,8283,21,НСК,,0
45.0,27315.0,пенсионер,1.0,1.0,2819,30,НСК,среднее,0
61.0,16538.0,студент,0.0,0.0,5822,14,ЕКБ,неоконченное,0
61.0,9728.0,пенсионер,0.0,0.0,4641,30,ЕКБ,среднее_специальное,0
37.0,81177.0,ИП,0.0,1.0,20598,14,СПб,высшее,0
47.0,27754.0,наемный,0.0,0.0,9180,7,ЕКБ,,1
28.0,50248.0,наемный,0.0,2.0,14115,30,ЕКБ,высшее,0
45.0,30052.0,наемный,0.0,1.0,14705,7,НСК,высшее,1
42.0,33810.0,наемный,0.0,1.0,13334,21,НСК,среднее_специальное,0
56.0,67887.0,ИП,0.0,0.0,7989,14,ЕКБ,высшее,0
50.0,,наемный,0.0,1.0,7213,30,ЕКБ,среднее,0
18.0,5000.0,безработный,1.0,1.0,1440,14,НСК,среднее_специальное,1
44.0,50904.0,наемный,1.0,1.0,17953,7,НСК,среднее_специальное,1
69.0,50449.0,наемный,0.0,5.0,10904,14,,высшее,0
30.0,30620.0,наемный,0.0,2.0,11325,14,,среднее,0
58.0,55986.0,наемный,0.0,2.0,18509,30,ЕКБ,неоконченное,0
20.0,5000.0,безработный,0.0,2.0,1370,21,Москва,высшее,1
56.0,53752.0,ИП,1.0,3.0,17895,14,ЕКБ,среднее_специальное,0
23.0,14790.0,студент,0.0,1.0,6900,14,,неоконченное,0
25.0,31464.0,наемный,0.0,1.0,6207,14,Москва,среднее_специальное,0
44.0,42638.0,наемный,0.0,2.0,17758,14,СПб,неоконченное,0
26.0,42410.0,наемный,0.0,0.0,4443,30,Москва,высшее,0
54.0,38129.0,наемный,0.0,5.0,5106,14,ЕКБ,среднее,1
,33324.0,пенсионер,0.0,2.0,15991,30,СПб,среднее_специальное,0
68.0,57716.0,ИП,0.0,2.0,21879,14,НСК,среднее,0
59.0,27315.0,пенсионер,1.0,1.0,9651,30,НСК,,0
,51464.0,наемный,0.0,0.0,12023,14,НСК,высшее,0
41.0,32906.0,пенсионер,1.0,4.0,5716,21,СПб,высшее,1
32.0,47860.0,наемный,1.0,0.0,12059,14,Москва,среднее_специальное,1
49.0,13508.0,пенсионер,0.0,2.0,4584,30,ЕКБ,среднее_специальное,0
49.0,45247.0,наемный,0.0,4.0,16006,14,НСК,неоконченное,0
41.0,31215.0,наемный,0.0,3.0,5238,21,Москва,,0
58.0,27185.0,наемный,0.0,2.0,7562,30,НСК,среднее,0
69.0,9282.0,студент,0.0,1.0,3032,21,НСК,среднее_специальное,0
66.0,30957.0,наемный,0.0,3.0,14982,14,Москва,высшее,0
66.0,47906.0,наемный,0.0,3.0,15318,21,ЕКБ,,0
69.0,33145.0,пенсионер,1.0,0.0,11012,7,НСК,среднее_специальное,0
29.0,20973.0,наемный,1.0,0.0,8516,14,НСК,среднее,1
56.0,31716.0,наемный,0.0,1.0,8486,14,Москва,высшее,0
19.0,25402.0,наемный,0.0,2.0,6440,30,НСК,среднее_специальное,0
20.0,35373.0,наемный,1.0,7.0,11898,7,Москва,среднее,1
66.0,14551.0,студент,0.0,1.0,6014,14,Москва,среднее_специальное,0
54.0,,безработный,0.0,2.0,4465,30,СПб,среднее_специальное,1
66.0,34102.0,наемный,0.0,2.0,5949,21,НСК,среднее,0
34.0,23001.0,студент,1.0,1.0,5959,21,НСК,среднее,1
66.0,16951.0,наемный,0.0,2.0,5170,14,Москва,среднее,0
19.0,52368.0,наемный,0.0,2.0,16207,21,НСК,высшее,0
19.0,34557.0,наемный,0.0,0.0,8149,14,Москва,,0
45.0,39218.0,наемный,1.0,0.0,12117,7,ЕКБ,высшее,0
40.0,34726.0,наемный,1.0,2.0,12820,14,ЕКБ,неоконченное,1
54.0,25428.0,студент,0.0,,7302,14,НСК,высшее,0
49.0,5000.0,безработный,1.0,0.0,1402,7,СПб,среднее,1
50.0,40117.0,наемный,0.0,3.0,16874,14,ЕКБ,среднее_специальное,0
18.0,45274.0,,0.0,3.0,18233,30,ЕКБ,среднее_специальное,1
36.0,5000.0,безработный,1.0,4.0,1344,30,НСК,высшее,1
,5000.0,студент,0.0,2.0,2492,30,Москва,неоконченное,1
61.0,23518.0,пенсионер,,2.0,2977,21,НСК,среднее,0
43.0,31133.0,наемный,0.0,3.0,7172,21,,высшее,0
49.0,6844.0,безработный,1.0,4.0,785,7,НСК,среднее,1
23.0,36501.0,наемный,1.0,1.0,15906,7,ЕКБ,высшее,1
49.0,46495.0,наемный,1.0,2.0,18702,14,ЕКБ,высшее,0
21.0,36572.0,наемный,0.0,1.0,13658,14,СПб,среднее,0
,50784.0,наемный,1.0,6.0,9435,21,НСК,высшее,1
34.0,30022.0,наемный,0.0,1.0,11501,30,ЕКБ,неоконченное,0
55.0,27480.0,наемный,0.0,7.0,6653,30,Москва,среднее_специальное,0
41.0,59263.0,наемный,1.0,2.0,26515,21,ЕКБ,среднее,1
22.0,8420.0,безработный,0.0,2.0,1513,14,Москва,неоконченное,1
69.0,,наемный,0.0,5.0,5032,14,НСК,среднее_специальное,0
51.0,22579.0,наемный,0.0,2.0,10933,30,НСК,среднее_специальное,0
23.0,50751.0,наемный,0.0,2.0,15570,21,НСК,неоконченное,0
39.0,6586.0,студент,0.0,2.0,1834,14,НСК,среднее_специальное,1
28.0,37462.0,наемный,0.0,3.0,9017,7,НСК,высшее,1
65.0,38407.0,наемный,0.0,2.0,16610,30,НСК,высшее,0
33.0,,наемный,0.0,0.0,12085,14,Москва,,0
50.0,23204.0,пенсионер,1.0,1.0,5626,30,НСК,высшее,0
26.0,33440.0,студент,0.0,2.0,4993,7,,среднее,0
23.0,41337.0,наемный,0.0,3.0,12743,7,Москва,неоконченное,1
33.0,50617.0,наемный,0.0,2.0,23764,14,Москва,среднее_специальное,0
46.0,18052.0,студент,1.0,1.0,8719,7,НСК,среднее_специальное,1
20.0,39635.0,наемный,0.0,3.0,19746,7,НСК,высшее,0
37.0,54130.0,ИП,0.0,4.0,15655,21,Москва,среднее_специальное,0
53.0,43319.0,наемный,1.0,0.0,17759,14,НСК,высшее,0
36.0,45100.0,наемный,0.0,1.0,14477,21,НСК,среднее_специальное,0
43.0,34274.0,наемный,1.0,1.0,10939,14,ЕКБ,высшее,1
20.0,41663.0,наемный,0.0,1.0,17602,7,НСК,среднее_специальное,0
36.0,72362.0,ИП,0.0,2.0,31415,14,ЕКБ,,1
37.0,30699.0,студент,0.0,3.0,3312,7,ЕКБ,,0
49.0,48543.0,наемный,0.0,4.0,23160,14,НСК,высшее,0
24.0,43627.0,пенсионер,1.0,1.0,18724,7,НСК,среднее,1
69.0,33706.0,наемный,1.0,1.0,13092,7,ЕКБ,среднее,1
58.0,47018.0,наемный,1.0,2.0,20726,14,ЕКБ,среднее_специальное,0
50.0,53385.0,наемный,1.0,1.0,16811,7,НСК,высшее,1
57.0,5000.0,студент,1.0,0.0,2046,21,СПб,среднее,0
56.0,10144.0,безработный,0.0,4.0,3443,7,НСК,неоконченное,1
35.0,77379.0,ИП,1.0,0.0,24542,21,ЕКБ,неоконченное,0
57.0,15249.0,пенсионер,0.0,2.0,2815,30,НСК,высшее,0
18.0,46588.0,ИП,0.0,3.0,20450,30,ЕКБ,среднее,0
28.0,25279.0,,0.0,,11465,14,ЕКБ,неоконченное,0
45.0,26967.0,безработный,1.0,0.0,13172,21,НСК,среднее_специальное,0
42.0,14321.0,студент,0.0,3.0,2122,14,СПб,среднее_специальное,0
67.0,39542.0,наемный,1.0,1.0,8565,14,Москва,,1
40.0,35614.0,наемный,0.0,,13325,14,НСК,высшее,0
48.0,42819.0,наемный,1.0,1.0,18929,21,СПб,среднее_специальное,0
47.0,55798.0,наемный,1.0,3.0,22348,21,Москва,среднее_специальное,0
59.0,42385.0,наемный,0.0,4.0,11962,21,Москва,среднее,0
52.0,61669.0,наемный,1.0,2.0,24075,21,НСК,среднее_специальное,0
24.0,51020.0,ИП,0.0,2.0,6573,30,ЕКБ,среднее,0
33.0,39803.0,наемный,0.0,3.0,14528,21,СПб,среднее,0
43.0,36269.0,наемный,1.0,0.0,3743,30,НСК,среднее,0
65.0,,наемный,0.0,5.0,3469,21,НСК,высшее,0
69.0,8469.0,студент,0.0,1.0,3412,21,НСК,высшее,0
66.0,44173.0,наемный,0.0,3.0,12856,30,НСК,,0
19.0,45242.0,наемный,0.0,0.0,5601,21,НСК,,0
18.0,36704.0,безработный,0.0,3.0,10744,7,НСК,среднее_специальное,1
65.0,64644.0,ИП,0.0,3.0,8087,7,ЕКБ,высшее,0
29.0,51501.0,наемный,1.0,3.0,12278,14,СПб,среднее_специальное,0
22.0,40660.0,наемный,0.0,1.0,6625,30,ЕКБ,среднее_специальное,0
54.0,56780.0,наемный,0.0,3.0,10660,7,НСК,среднее_специальное,0
49.0,33984.0,студент,1.0,0.0,6057,7,НСК,среднее,0
26.0,45310.0,наемный,1.0,1.0,11268,7,Москва,среднее,0
58.0,30073.0,наемный,1.0,2.0,4305,7,ЕКБ,высшее,0
52.0,34511.0,наемный,0.0,2.0,10736,30,СПб,высшее,0
36.0,42819.0,наемный,0.0,1.0,11254,14,НСК,среднее_специальное,0
65.0,19564.0,безработный,0.0,1.0,8528,21,ЕКБ,среднее,1
33.0,46984.0,наемный,0.0,2.0,20220,7,НСК,среднее_специальное,0
20.0,44601.0,наемный,1.0,1.0,19165,14,НСК,неоконченное,1
37.0,40069.0,наемный,0.0,2.0,11534,7,СПб,высшее,0
41.0,33638.0,наемный,0.0,2.0,7276,7,НСК,,0
50.0,44011.0,наемный,0.0,2.0,11713,21,НСК,неоконченное,0
41.0,43549.0,пенсионер,0.0,1.0,16328,14,НСК,высшее,0
,25199.0,безработный,0.0,2.0,7859,14,НСК,среднее_специальное,1
28.0,15347.0,студент,1.0,0.0,5367,7,СПб,высшее,1
66.0,35295.0,пенсионер,0.0,1.0,13323,14,НСК,среднее_специальное,0
25.0,56289.0,,0.0,1.0,26306,21,НСК,высшее,0
53.0,34917.0,наемный,0.0,6.0,16676,7,НСК,среднее_специальное,1
55.0,7522.0,безработный,0.0,1.0,3281,14,СПб,высшее,0
57.0,23747.0,пенсионер,0.0,1.0,2992,14,ЕКБ,среднее,0
37.0,10779.0,безработный,0.0,1.0,5300,30,ЕКБ,неоконченное,1
52.0,52082.0,наемный,0.0,7.0,19866,14,Москва,среднее,1
65.0,35246.0,наемный,1.0,,13300,30,НСК,,0
42.0,16972.0,пенсионер,0.0,1.0,1854,30,Москва,среднее_специальное,0
52.0,34425.0,безработный,,2.0,10043,7,СПб,среднее,0
42.0,5486.0,студент,0.0,2.0,1923,14,НСК,среднее_специальное,1
46.0,41535.0,наемный,0.0,3.0,8780,21,Москва,среднее,0
35.0,44513.0,наемный,0.0,2.0,5933,14,НСК,среднее_специальное,0
63.0,28633.0,наемный,0.0,2.0,8961,21,НСК,среднее,0
35.0,27354.0,безработный,0.0,2.0,7618,14,,среднее,1
19.0,46371.0,наемный,0.0,2.0,5454,30,СПб,неоконченное,0
52.0,55583.0,наемный,0.0,0.0,17106,14,НСК,высшее,0
33.0,5000.0,студент,0.0,2.0,715,7,НСК,среднее,0
,40991.0,наемный,0.0,2.0,11060,30,ЕКБ,среднее,0
53.0,25393.0,пенсионер,1.0,2.0,5285,21,НСК,высшее,0
50.0,42638.0,наемный,0.0,2.0,20815,21,ЕКБ,среднее_специальное,0
21.0,10453.0,пенсионер,0.0,3.0,1190,30,ЕКБ,среднее,0
50.0,41108.0,наемный,1.0,2.0,13319,14,НСК,среднее_специальное,0
31.0,5000.0,студент,0.0,2.0,803,14,Москва,среднее,1
38.0,13583.0,студент,0.0,1.0,3093,30,ЕКБ,высшее,1
65.0,18713.0,наемный,1.0,1.0,3247,14,ЕКБ,среднее,1
37.0,21484.0,наемный,0.0,1.0,10700,7,ЕКБ,среднее_специальное,0
25.0,48185.0,наемный,1.0,1.0,5442,14,ЕКБ,среднее,1
24.0,54531.0,ИП,0.0,1.0,17261,30,СПб,среднее,0
20.0,15121.0,пенсионер,0.0,3.0,5189,7,СПб,высшее,0
34.0,52708.0,наемный,0.0,1.0,21550,21,НСК,высшее,0
50.0,63276.0,ИП,0.0,2.0,22171,14,,среднее,0
65.0,48720.0,наемный,0.0,1.0,9380,21,ЕКБ,высшее,0
29.0,23337.0,пенсионер,0.0,0.0,7916,14,,среднее,0
68.0,36796.0,студент,0.0,0.0,18029,21,НСК,среднее,0
39.0,33954.0,наемный,0.0,1.0,14918,14,ЕКБ,среднее_специальное,0
39.0,57444.0,наемный,0.0,5.0,16164,7,СПб,неоконченное,0
63.0,39386.0,наемный,1.0,4.0,11459,7,СПб,неоконченное,0
47.0,23454.0,наемный,1.0,3.0,3592,30,НСК,среднее_специальное,0
55.0,44828.0,наемный,1.0,2.0,14702,21,Москва,высшее,0
55.0,43147.0,наемный,0.0,2.0,9151,14,Москва,среднее_специальное,0
62.0,29486.0,наемный,0.0,0.0,4223,30,НСК,высшее,0
,30777.0,наемный,0.0,0.0,8915,30,Москва,высшее,0
25.0,39753.0,наемный,0.0,0.0,4691,7,НСК,высшее,0
44.0,43497.0,наемный,0.0,4.0,6439,21,,среднее_специальное,0
44.0,15293.0,наемный,0.0,2.0,2869,14,ЕКБ,высшее,0
51.0,25531.0,безработный,0.0,1.0,12669,14,НСК,среднее_специальное,0
38.0,10055.0,безработный,0.0,2.0,4257,14,ЕКБ,высшее,0
47.0,26682.0,наемный,,1.0,8450,21,СПб,высшее,0
50.0,49410.0,наемный,0.0,2.0,9537,14,Москва,высшее,0
45.0,,безработный,0.0,3.0,4540,7,НСК,среднее_специальное,1
64.0,22161.0,студент,0.0,0.0,7969,21,Москва,среднее_специальное,0
50.0,44379.0,наемный,0.0,5.0,4518,30,ЕКБ,высшее,0
22.0,39984.0,наемный,1.0,1.0,19798,21,Москва,,1
65.0,38472.0,,0.0,5.0,13492,14,Москва,,0
36.0,44827.0,наемный,1.0,,22202,7,ЕКБ,среднее_специальное,1
21.0,35864.0,наемный,0.0,2.0,10315,21,НСК,,0
,31474.0,наемный,0.0,1.0,10997,21,Москва,неоконченное,0
